username,is_verified,is_private,is_business_account
cristin816,False,True,False
powder_gal,False,True,False
peachtreegothic,False,True,False
jayce.corlett,False,False,False
stephanieraines1,False,False,False
rainbowjig,False,True,False
terp_tearz,False,False,False
gretchen.williams,False,True,False
jessicamoon91,False,True,False
punk_wiens,False,False,False
hannasungah,False,True,False
jangos1,False,False,False
ilgaindahaus,False,False,False
mizkatrockz,False,True,False
jennesharpe,False,False,True
crusoe30,False,True,False
andreas.caluori,False,True,False
4lmkm,False,False,False
christine__mo,False,False,False
_hpy_,False,True,False
diybouillon92,False,False,False
daniellearbib,False,False,False
macsdojo,False,False,False
_nicolettesmith,False,False,False
lalalikes,False,True,False
eiramnna05,False,True,False
garnerrenrag,False,False,False
anyakinsl,False,True,False
chloeaudio,False,False,False
stepharcher18,False,True,False
nadyam__,False,False,False
world_travel_babe,False,False,False
denise._.weekley,False,True,False
sk8rkinney,False,True,False
srose30,False,False,False
briangus82,False,False,False
hollyawalsh,False,True,False
bennyandkelly,False,False,False
gaddophoto,False,False,False
rockthetropics,False,False,False
natalierosemcguire,False,True,False
judithhjones,False,True,False
g_wunder_,False,True,False
kristaraefrenchtoast,False,True,False
j.nicolego,False,False,False
kellykel182,False,True,False
cwhipfish,False,False,False
usssks,False,False,False
mcfadeley,False,True,False
jasperartglass,False,False,False
stckypaws,False,False,False
melanie_antoniette,False,False,False
erinbreww,False,True,False
damn_zippy,False,False,False
mariaherbst,False,True,False
raylenworthington,False,False,False
alliedominguez,False,True,False
adehl_schwad,False,True,False
knowmad,False,False,False
joeygenochio,False,False,False
kelbeldg,False,True,False
cult_curation,False,False,True
breezy_brackenfern,False,False,False
the.busy.body,False,False,False
e_mae89,False,True,False
betsyriehl,False,True,False
nottabearnewfoundlands,False,False,True
bb.douglas,False,False,False
atencio_nicole,False,False,False
scilove81,False,False,False
melissa_auman,False,False,False
stephanoxman2017,False,False,False
kreupert,False,True,False
heatherbruggmanscentsydirector,False,False,False
1extramedium,False,False,False
iank89,False,False,False
bknudson28,False,False,False
murawski27,False,False,False
cynthia.elliott.28,False,False,False
stubsnslinkntino,False,True,False
wuhoo733,False,True,False
addisoncross,False,False,False
sara_virginia_simms,False,True,False
alexandra_schaffer10,False,False,False
tamaring,False,True,False
cnrwood,False,False,False
emmmmmmmmuhle,False,True,False
thekosmenaut,False,False,True
stacylianelippincott,False,True,False
johnnygomezintx,False,False,False
whatthejillyo,False,True,False
fieldfiveflowers,False,False,True
mhing312,False,False,False
vimamc,False,True,False
robin_ellen,False,True,False
amylubinski,False,True,False
vantastic_420,False,True,False
aliesald,False,False,False
kelsieelanoremorrow,False,True,False
allsunshinenwhiskey,False,False,False
phantomelina,False,True,False
davelrb,False,True,False
_elipuente,False,False,False
mysterious.leather,False,True,False
prismcrystals_,False,False,True
mree1982,False,True,False
meliaviola,False,True,False
robertatotz,False,True,False
_tayluns_,False,False,False
lanitantan,False,True,False
paulkaplangroup,False,False,True
megatoe,False,True,False
callisonhunter,False,True,False
prod.ayyg,False,False,False
deidre.d.yogini,False,True,False
seviars,False,True,False
trixie_scolari,False,True,False
jbeas15,False,False,False
william_s_werner,False,True,False
dmcleland,False,True,False
mchellew,False,True,False
dakota_q,False,False,False
kortniecolesreeves,False,False,True
nv_libby,False,True,False
daniel.e.conway,False,False,False
helenagali,False,True,False
bonfirestardesigns,False,False,False
jessijaimz,False,True,False
mindyh,False,True,False
sdschofield,False,True,False
ben_stickney,False,True,False
john.fullbright,False,False,False
maggieemma_,False,False,False
gigjahlin,False,True,False
haaan.dy,False,False,False
alirush,False,False,False
amattaliano,False,True,False
jollyjunebug,False,True,False
_zoeradford,False,False,False
aneluardian,False,True,False
stealingaway,False,False,False
hannahharts,False,True,False
tressa_watkins,False,False,False
thatsouthernbell,False,True,False
carmina,False,False,False
_courteroy,False,False,False
freesiagavrielle,False,False,False
purse_cookie,False,False,False
wesleystahler,False,True,False
d_bello_,False,False,False
aparadorniesperanza,False,False,False
annacorinne29,False,True,False
em.anator,False,False,False
nikkiosder,False,True,False
